Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",C_Disc_D11.0mm_W5.0mm_P5.00mm,2,10nf,
C10,C_Disc_D11.0mm_W5.0mm_P5.00mm,1,1nf,
C2,C_Disc_D11.0mm_W5.0mm_P5.00mm,1,47nf,
C4,C_Disc_D11.0mm_W5.0mm_P5.00mm,1,1uf,
C5,CP_Radial_D6.3mm_P2.50mm,1,10uf/35V,
C6,C_Disc_D11.0mm_W5.0mm_P5.00mm,1,100nf,
C7,CP_Radial_D6.3mm_P2.50mm,1,10 uf,
C8,CP_Radial_D6.3mm_P2.50mm,1,10uf,
C9,C_Disc_D11.0mm_W5.0mm_P5.00mm,1,120pf,
"D1, D2, D3, D4",D_DO-35_SOD27_P7.62mm_Horizontal,4,1N4148,
D5,PinSocket_1x02_P2.54mm_Vertical,1,LED,
J1,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Top_Bottom,
J2,PinSocket_1x02_P2.54mm_Vertical,1,CV,
J3,PinSocket_1x02_P2.54mm_Vertical,1,SYNC,
J4,PinSocket_1x02_P2.54mm_Vertical,1,SINE,
J5,PinSocket_1x02_P2.54mm_Vertical,1,TRI,
J6,PinSocket_1x02_P2.54mm_Vertical,1,PULSE,
J7,PinSocket_1x02_P2.54mm_Vertical,1,SAW,
J8,PinSocket_1x02_P2.54mm_Vertical,1,RAMP,
Q1,TO-92_Inline,1,BS170,
Q2,TO-92_Inline,1,BC557,
Q3,TO-92_Inline,1,BC547,
"R1, R36",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,12k,
"R10, R12, R13, R14, R16, R2, R26, R28, R3, R39, R4, R41, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,13,100k,
R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,27k,
R15,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,50k,
"R17, R20",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,150k,
"R18, R19, R29",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,200k,
"R21, R31, R32, R35, R37, R38, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,7,1k,
"R22, R34, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,10k,
R23,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,22k,
"R24, R25, R30",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,15k,
R27,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1.5k,
R33,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,47k,
R40,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2.7k,
"R42, R43",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100R,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,8.2k,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,820R,
RV1,PinSocket_1x03_P2.54mm_Vertical,1,50k,
RV2,PinSocket_1x03_P2.54mm_Vertical,1,10k,
"RV3, RV6",PinHeader_1x03_P2.54mm_Vertical,2,50k,
"RV4, RV5, RV7",PinHeader_1x03_P2.54mm_Vertical,3,10k,
SW1,PinHeader_1x06_P2.54mm_Vertical,1,SW_Push_DPDT,
U1,DIP-8_W7.62mm,1,LM741,
U2,DIP-8_W7.62mm,1,NE555P,
"U3, U4",DIP-14_W7.62mm,2,TL074,
