Designator,Mid X,Mid Y,Rotation,Layer
C1,88.9,-52.705,180.0,top
C10,158.71,-68.58,180.0,top
C2,117.475,-40.64,180.0,top
C3,115.57,-65.365,90.0,top
C4,140.335,-73.025,0.0,top
C5,147.867379,-65.405,180.0,top
C6,106.68,-65.365,90.0,top
C7,100.33,-59.777621,-90.0,top
C8,100.33,-67.35,-90.0,top
C9,133.985,-48.855,90.0,top
D1,160.02,-35.56,0.0,top
D2,167.64,-31.75,180.0,top
D3,164.465,-58.42,0.0,top
D4,172.085,-55.88,180.0,top
D5,189.845,-78.13,-90.0,top
J1,80.645,-59.69,0.0,top
J2,106.07,-71.775,0.0,top
J3,95.885,-38.1,-90.0,top
J4,187.935,-70.465,180.0,top
J5,165.12,-74.905,90.0,top
J6,180.955,-78.13,-90.0,top
J7,125.75,-31.725,90.0,top
J8,180.34,-31.75,90.0,top
Q1,100.605,-43.18,-90.0,top
Q2,123.19,-41.635,0.0,top
Q3,184.15,-63.775,180.0,top
R1,194.945,-71.12,90.0,top
R10,119.38,-54.61,0.0,top
R11,127.0,-50.8,180.0,top
R12,167.005,-39.37,180.0,top
R13,149.86,-31.75,0.0,top
R14,132.08,-60.96,90.0,top
R15,156.845,-53.34,-90.0,top
R16,153.67,-60.96,90.0,top
R17,160.02,-53.34,-90.0,top
R18,139.065,-35.56,0.0,top
R19,159.385,-64.135,180.0,top
R2,118.745,-81.28,90.0,top
R20,163.83,-64.135,0.0,top
R21,163.83,-70.485,0.0,top
R22,139.065,-31.75,0.0,top
R23,172.085,-52.705,180.0,top
R24,198.12,-62.23,90.0,top
R25,198.12,-41.91,-90.0,top
R26,139.065,-39.37,0.0,top
R27,187.96,-62.865,90.0,top
R28,179.705,-36.195,0.0,top
R29,149.225,-39.37,0.0,top
R3,115.57,-78.105,90.0,top
R30,183.515,-52.705,0.0,top
R31,135.255,-39.37,90.0,top
R32,190.5,-39.37,180.0,top
R33,175.26,-55.88,0.0,top
R34,175.26,-59.055,-90.0,top
R35,191.135,-55.245,-90.0,top
R36,170.18,-78.74,180.0,top
R37,178.435,-74.295,90.0,top
R38,184.15,-75.565,90.0,top
R39,135.255,-60.96,90.0,top
R4,121.92,-81.915,90.0,top
R40,150.495,-59.055,90.0,top
R41,149.225,-43.815,0.0,top
R42,93.98,-69.85,180.0,top
R43,93.98,-59.69,180.0,top
R5,85.09,-47.625,0.0,top
R6,106.045,-41.275,-90.0,top
R7,96.52,-54.61,90.0,top
R8,111.125,-65.405,-90.0,top
R9,119.38,-46.99,0.0,top
RV1,106.045,-78.105,-90.0,top
RV2,200.01,-74.295,-90.0,top
RV3,199.39,-65.405,90.0,top
RV4,153.05,-73.66,90.0,top
RV5,153.035,-78.105,90.0,top
RV6,195.58,-31.75,-90.0,top
RV7,194.31,-54.595,180.0,top
SW1,145.415,-78.105,-90.0,top
U1,121.295,-59.065,0.0,top
U2,108.595,-46.365,0.0,top
U3,139.075,-43.81,0.0,top
U4,190.505,-42.555,-90.0,top
